country,latitude,longitude,value,type
India,25.1808,80.8712,1,incidents
India,25.1981,93.8622,1,incidents
India,25.3166,83.0104,2,incidents
India,25.4165,86.1305,1,incidents
India,25.4658,78.7958,1,incidents
India,25.5793,91.8942,1,incidents
India,25.5833,83.5852,1,incidents
India,25.5941,85.1356,4,incidents
India,25.7127,83.547,1,incidents
India,25.7535,82.6868,1,incidents
India,25.7566,84.1488,7,incidents
India,25.7778,87.4746,1,incidents
India,25.9173,93.7214,1,incidents
India,25.9342,92.7088,1,incidents
India,25.9507,80.7629,1,incidents
India,25.9661,76.0834,1,incidents
India,26.0205,89.974,1,incidents
India,26.026,82.6957,1,incidents
India,26.0328,85.4538,1,incidents
India,26.094,92.6578,1,incidents
India,26.1055,89.8299,1,incidents
India,26.1109,84.5045,1,incidents
India,26.1433,91.7896,2,incidents
India,26.1643,90.6247,2,incidents
India,26.1849,91.6786,1,incidents
India,26.1892,91.7722,15,incidents
India,26.2309,81.2331,1,incidents
India,26.2328,90.2341,1,incidents
India,26.2528,92.3367,2,incidents
India,26.2735,92.4188,1,incidents
India,26.3001,91.6919,1,incidents
India,26.3225,90.6852,1,incidents
India,26.3469,92.6851,3,incidents
India,26.4016,90.2665,4,incidents
India,26.411,92.74,1,incidents
India,26.4162,92.8412,4,incidents
India,26.4373,91.6197,1,incidents
India,26.4448,91.4408,1,incidents
India,26.4674,90.4195,2,incidents
India,26.4775,92.838,1,incidents
India,26.4958,90.7029,2,incidents
India,26.5014,90.5366,2,incidents
India,26.5039,80.3778,1,incidents
India,26.512,91.1801,1,incidents
India,26.547,80.4878,1,incidents
India,26.5598,78.786,1,incidents
India,26.5611,88.5183,1,incidents
India,26.5741,91.976,2,incidents
India,26.6527,92.7938,2,incidents
India,26.6532,94.3301,1,incidents
India,26.6596,91.3413,1,incidents
India,26.7036,92.478,2,incidents
India,26.7257,93.1465,1,incidents
India,26.7272,88.3984,2,incidents
India,26.7326,92.923,1,incidents
India,26.7456,94.2045,6,incidents
India,26.799,82.2047,1,incidents
India,26.8026,92.7725,1,incidents
India,26.8392,80.9231,3,incidents
India,26.9005,94.7223,1,incidents
India,26.9828,94.6421,1,incidents
India,27.0869,93.6098,3,incidents
India,27.123,93.724,1,incidents
India,27.1833,78.0166,3,incidents
India,27.2848,95.6679,1,incidents
India,27.3575,95.323,2,incidents
India,27.3909,82.1806,1,incidents
India,27.4727,94.9121,2,incidents
